Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Cell_Type,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Test,Test_Indicator,Concentration (ug/ml),No_of_Cells (cells/well),Time (hr),Cell_Viability (%)
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,72,68.337
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,72,54.214
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,72,51.708
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,72,55.353
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,72,53.531
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,72,66.287
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,72,50.569
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,72,50.114
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,72,50.797
SiO2,I,Sphere,None,Sol-Gel Method,Negative,A549,Lung,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,72,45.33
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,24,68.856
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,24,61.071
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,24,59.611
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,24,59.124
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,24,58.151
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,24,99.757
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,24,67.397
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,24,66.423
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,24,62.774
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,24,53.041
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,24,68.613
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,24,66.423
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,24,65.207
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,24,63.99
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,24,64.477
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,24,68.856
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,24,63.504
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,24,62.287
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,24,60.584
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,24,58.151
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,72,57.011
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,72,55.172
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,72,55.172
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,72,49.425
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,72,46.437
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,72,95.172
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,72,65.747
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,72,60.92
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,72,54.713
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,72,42.299
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,72,66.437
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,72,58.161
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,72,56.322
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,72,56.322
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,72,55.862
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,72,64.138
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,72,55.172
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,100,50000,72,54.023
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,200,50000,72,51.264
SiO2,I,Sphere,None,Sol-Gel Method,Negative,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,500,50000,72,51.034
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,20,10000,6,99.06
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,60,10000,6,96.9
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,180,10000,6,98.5
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,360,10000,6,88.5
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,20,10000,24,95
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,60,10000,24,91
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,180,10000,24,83.9
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,360,10000,24,70.5
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,20,10000,48,90
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,60,10000,48,86
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,180,10000,48,68.25
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,MTS,TetrazoliumSalt,360,10000,48,54.15
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,20,10000,6,97.666
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,60,10000,6,98.423
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,180,10000,6,93.205
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,360,10000,6,90.852
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,20,10000,24,91.798
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,60,10000,24,89.148
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,180,10000,24,86.877
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,360,10000,24,78.17
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,20,10000,48,93.691
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,60,10000,48,80.631
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,180,10000,48,73.628
Pt,I,Sphere,None,Green Synthesis,Negative,HEK293,Kidney,Epithelial,Embryonic,L,NRU,NeutralRed,360,10000,48,58.297
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,2.5,50000,24,95
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,5,50000,24,78.548
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,24,60.645
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,20,50000,24,37.903
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,40,50000,24,35.968
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,24,30.968
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,2.5,50000,48,90
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,5,50000,48,70
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,48,49.194
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,20,50000,48,36.29
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,40,50000,48,26.935
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,48,24.032
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,2.5,50000,72,83.871
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,5,50000,72,67.581
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,10,50000,72,48.226
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,20,50000,72,25.806
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,40,50000,72,21.452
Pt,I,Sphere,None,Green Synthesis,,MCF-7,Breast,Epithelial,Adult,L,MTT,TetrazoliumSalt,50,50000,72,15.484
Pt,I,Sphere,None,Biosynthesis,,THP-1,Blood,Monocyte,Adult,L,CCK-8,TetrazoliumSalt,25,100000,24,100
Pt,I,Sphere,None,Biosynthesis,,THP-1,Blood,Monocyte,Adult,L,CCK-8,TetrazoliumSalt,50,100000,24,80.027
Pt,I,Sphere,None,Biosynthesis,,THP-1,Blood,Monocyte,Adult,L,CCK-8,TetrazoliumSalt,75,100000,24,59.783
Pt,I,Sphere,None,Biosynthesis,,THP-1,Blood,Monocyte,Adult,L,CCK-8,TetrazoliumSalt,100,100000,24,40.082
Pt,I,Sphere,None,Biosynthesis,,THP-1,Blood,Monocyte,Adult,L,CCK-8,TetrazoliumSalt,125,100000,24,19.973
Pt,I,Sphere,None,Biosynthesis,,THP-1,Blood,Monocyte,Adult,L,CCK-8,TetrazoliumSalt,150,100000,24,10.054
Pt,I,Sphere,Citrate,Commercial,Negative,HepG2,Liver,Epithelial,Adult,L,MTS,TetrazoliumSalt,5,30000,24,100
Pt,I,Sphere,Citrate,Commercial,Negative,HepG2,Liver,Epithelial,Adult,L,MTS,TetrazoliumSalt,25,30000,24,94.475
Pt,I,Sphere,Citrate,Commercial,Negative,HepG2,Liver,Epithelial,Adult,L,MTS,TetrazoliumSalt,100,30000,24,68.646
CuO,I,Sphere,None,Commercial,Negative,HaCat,Skin,Keratinocyte,Adult,L,MTT,TetrazoliumSalt,5,10000,24,96.2
CuO,I,Sphere,None,Commercial,Negative,HaCat,Skin,Keratinocyte,Adult,L,MTT,TetrazoliumSalt,10,10000,24,86.01
CuO,I,Sphere,None,Commercial,Negative,HaCat,Skin,Keratinocyte,Adult,L,MTT,TetrazoliumSalt,20,10000,24,70
CuO,I,Sphere,None,Commercial,Negative,HaCat,Skin,Keratinocyte,Adult,L,MTT,TetrazoliumSalt,30,10000,24,49.7
CuO,I,Sphere,None,Commercial,Negative,HaCat,Skin,Keratinocyte,Adult,L,MTT,TetrazoliumSalt,5,10000,48,92.96
CuO,I,Sphere,None,Commercial,Negative,HaCat,Skin,Keratinocyte,Adult,L,MTT,TetrazoliumSalt,10,10000,48,79.9
CuO,I,Sphere,None,Commercial,Negative,HaCat,Skin,Keratinocyte,Adult,L,MTT,TetrazoliumSalt,20,10000,48,58.43
CuO,I,Sphere,None,Commercial,Negative,HaCat,Skin,Keratinocyte,Adult,L,MTT,TetrazoliumSalt,30,10000,48,30.4
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,24,98.604
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,24,81.98
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,24,77.919
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,24,68.655
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,24,6.599
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,24,98.858
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,24,84.264
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,24,80.457
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,24,68.782
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,24,7.2335
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,24,99.629
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,24,90.853
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,24,87.639
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,24,72.93
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,24,19.778
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,48,96.701
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,48,80.584
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,48,77.284
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,48,67.386
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,48,5.7107
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,48,97.462
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,48,83.122
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,48,77.284
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,48,68.401
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,48,7.1066
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,48,99.135
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,48,85.909
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,48,81.459
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,48,71.199
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,48,13.226
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,72,96.193
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,72,80.584
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,72,74.112
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,72,65.609
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,72,5.4569
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,72,96.701
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,72,82.487
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,72,77.03
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,72,66.117
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,72,7.1066
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,1,50000,72,97.775
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,5,50000,72,84.92
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,10,50000,72,81.459
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,15,50000,72,68.356
Au,I,Sphere,None,Commercial,,NHDF,Skin,Fibroblast,Adult,L,MTT,TetrazoliumSalt,25,50000,72,13.226
Au,I,Sphere,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,79.57
Au,I,Sphere,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,80.645
Au,I,Sphere,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,82.437
Au,I,Sphere,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,82.079
Au,I,Sphere,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,70.968
Au,I,Star,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,88.53
Au,I,Star,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,89.068
Au,I,Star,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,85.484
Au,I,Star,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,78.495
Au,I,Star,Chitosan,Green Synthesis,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,48.746
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,17.921
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,19.176
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,19.534
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,21.326
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,AGS,Stomach,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,3.7634
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,107.26
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,101.59
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,98.761
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,85.664
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,67.257
Au,I,Star,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,84.779
Au,I,Star,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,83.54
Au,I,Star,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,76.637
Au,I,Star,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,60.885
Au,I,Star,Chitosan,Green Synthesis,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,34.69
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,5.4867
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,5.4867
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,5.4867
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,4.2478
Au,I,Rod,Chitosan,Seed-Mediated Growth Method,Positive,HeLa,Cervix,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,4.2478
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,71.45
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,63.976
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,50.673
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,46.637
Au,I,Sphere,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,36.921
Au,I,Star,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,60.538
Au,I,Star,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,59.791
Au,I,Star,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,31.54
Au,I,Star,Chitosan,Green Synthesis,Positive,HepG2,Liver,Epithelial,Adult,L,MTT,TetrazoliumSalt,,5000,24,1.9432
